Symbol,Units,Security Type,IPO Date,Exchange,Market Cap,Meger Pending?,Close,Shares,Expiration,Yield*
ACKIT,Ackrell SPAC Partners I Co - Subunits (1 Ord & 0.5 War),Units,2/4/2021,NASDAQ Capital Market,"$147,118,140 ",N,10.26,"14,339,000",7/4/2021,2.860%
AMAO,American Acquisition Opportunity Inc. Class A,Common stocks,4/29/2021,NASDAQ Capital Market,"$46,057,503 ",N,10.19,"4,537,685",9/26/2021,2.856%
GGGV,G3 VRM Acquisition Corp. Class A,Common stocks,8/16/2021,NASDAQ Capital Market,"$114,146,867 ",N,10.1,"11,301,670",1/13/2022,2.829%
ATA,Americas Technology Acquisition Corp.,Common stocks,1/28/2021,New York Stock Exchange,"$148,770,000 ",N,10.26,"14,500,000",6/27/2021,2.798%
KWAC,Kingswood Acquisition Corp. Class A,Common stocks,2/17/2021,New York Stock Exchange,"$118,824,960 ",N,10.24,"11,604,000",7/17/2021,2.757%
MPAC,Model Performance Acquisition Corp. Class A,Common stocks,6/7/2021,NASDAQ Capital Market,"$61,854,000 ",Y,10.15,"6,100,000",11/4/2021,2.714%
AHPA,Avista Public Acquisition Corp. II Class A,Common stocks,9/30/2021,NASDAQ Capital Market,"$231,380,000 ",Y,10.06,"23,000,000",2/27/2022,2.651%
BRLI,Brilliant Acquisition Corporation,Common stocks,7/22/2020,NASDAQ Capital Market,"$56,908,191 ",N,10.39,"5,477,208",12/19/2020,2.619%
SGHL,Signal Hill Acquisition Corp. - Class A,Common stocks,3/27/2022,NASDAQ Global Market,"$99,000,000 ",N,9.93,"10,000,000",8/24/2022,2.616%
MBTC,Nocturne Acquisition Corporation,Common stocks,5/3/2021,NASDAQ Capital Market,"$150,626,000 ",N,10.17,"14,840,000",9/30/2021,2.605%
GGAA,Genesis Growth Tech Acquisition Corp. - Class A,Common stocks,1/31/2022,NASDAQ Global Market,"$252,494,000 ",N,9.97,"25,300,000",6/30/2022,2.579%
SZZL,Sizzle Acquisition Corp.,Common stocks,1/31/2022,NASDAQ Global Market,"$154,535,000 ",N,9.97,"15,500,000",6/30/2022,2.579%
AIMAU,"Aimfinity Investment Corp I - Units (1 Ord Class A , 1 Class 1 War & 1/2 Class 2 War)",Units,4/26/2022,NASDAQ Global Market,"$73,829,500 ",N,9.91,"7,450,000",9/23/2022,2.574%
IOAC,Innovative International Acquisition Corp. Class A,Common stocks,1/3/2022,NASDAQ Global Market,"$240,118,800 ",N,9.99,"24,060,000",6/2/2022,2.574%
BWAC,Better World Acquisition Corp.,Common stocks,12/28/2020,NASDAQ Capital Market,"$107,922,478 ",N,10.26,"10,518,760",5/27/2021,2.555%
AXAC,AXIOS Sustainable Growth Acquisition Corporation Class A,Common stocks,2/15/2022,New York Stock Exchange,$0 ,N,9.96,0,7/15/2022,2.536%
BYNO,byNordic Acquisition Corporation - Class A,Common stocks,4/1/2022,NASDAQ Global Market,"$170,775,000 ",N,9.93,"17,250,000",8/29/2022,2.488%
TINV,Tiga Acquisition Corp. Class A,Common stocks,1/14/2021,New York Stock Exchange,"$282,624,000 ",N,10.24,"27,600,000",6/13/2021,2.482%
