Symbol,Name,Category,Exercise Price,Last Close Price,Issuer Last Close Price,Issuer Market cap,20 Day Average Volume,Issuer Symbol,Issuer,Type,Profit,Return
SATLW,Satellogic Inc. - Warrant,Operating Companies,$0.00 ,$0.75 ,$5.42 ,"$420,589,271 ","122,420",SATL,Satellogic Inc. - Class A,Common stocks,4.67,622.67%
CDROW,"Codere Online Luxembourg, S.A. - Warrants",Operating Companies,$0.00 ,$0.43 ,$3.03 ,"$143,478,796 ","17,046",CDRO,"Codere Online Luxembourg, S.A.",Common stocks,2.6,604.65%
BBLGW,Bone Biologics Corp - warrants,Operating Companies,$0.00 ,$0.23 ,$1.62 ,"$16,664,432 ","4,273",BBLG,Bone Biologics Corp.,Common stocks,1.39,604.35%
NESRW,National Energy Services Reunited Corp. Warrant,Operating Companies,$0.00 ,$0.91 ,$6.38 ,"$573,279,950 ",170,NESR,National Energy Services Reunited Corp.,Common stocks,5.47,601.10%
KTTAW,Pasithea Therapeutics Corp. - Warrant,Operating Companies,$0.00 ,$0.13 ,$0.91 ,"$21,734,521 ","4,230",KTTA,Pasithea Therapeutics Corp.,Common stocks,0.78,600.00%
CREXW,"Creative Realities, Inc. - Warrant",Operating Companies,$0.00 ,$0.10 ,$0.70 ,"$14,953,573 ","10,285",CREX,"Creative Realities, Inc.",Common stocks,0.6,600.00%
LFLYW,"Leafly Holdings, Inc. - Warrant",Operating Companies,$0.00 ,$1.43 ,$9.75 ,"$390,607,781 ","40,914",LFLY,"Leafly Holdings, Inc.",Common stocks,8.32,581.82%
AREBW,"American Rebel Holdings, Inc. Warrants",Operating Companies,$0.00 ,$0.10 ,$0.68 ,"$3,081,859 ","11,501",AREB,American Rebel Holdings Inc.,Common stocks,0.58,580.00%
RVSNW,Rail Vision Ltd. - Warrant,Operating Companies,$0.00 ,$0.18 ,$1.22 ,"$19,552,191 ","20,078",RVSN,Rail Vision Ltd.,Common stocks,1.04,577.78%
VAL+,Valaris Limited Warrants,Operating Companies,$0.00 ,$8.37 ,$56.50 ,"$4,283,313,221 ","24,745",VAL,Valaris Limited,Common stocks,48.13,575.03%
MTEKW,Maris-Tech Ltd. Warrants,Operating Companies,$0.00 ,$0.17 ,$1.11 ,"$8,522,557 ","7,378",MTEK,Maris Tech Ltd.,Common stocks,0.94,552.94%
CLBTW,Cellebrite DI Ltd. - Warrants,Operating Companies,$0.00 ,$0.72 ,$4.70 ,"$884,254,851 ","51,297",CLBT,Cellebrite DI Ltd.,Common stocks,3.98,552.78%
DRMAW,"Dermata Therapeutics, Inc. - Warrant",Operating Companies,$0.00 ,$0.12 ,$0.76 ,"$6,829,061 ","8,954",DRMA,"Dermata Therapeutics, Inc.",Common stocks,0.64,533.33%
NUVB+,Nuvation Bio Inc. Warrants,Operating Companies,$0.00 ,$0.70 ,$4.13 ,"$883,463,456 ","5,463",NUVB,Nuvation Bio Inc. Class A,Common stocks,3.43,490.00%
MOBQW,"Mobiquity Technologies, Inc. Warrant",Operating Companies,$0.00 ,$0.15 ,$0.88 ,"$3,284,686 ","2,328",MOBQ,Mobiquity Technologies Inc.,Common stocks,0.73,486.67%
